序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
45	接收	22:04:57.224		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
46	接收	22:04:57.249		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
47	接收	22:04:57.274		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
48	接收	22:04:57.298		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
49	接收	22:04:57.323		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
50	接收	22:04:57.347		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
51	接收	22:04:57.374		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
52	接收	22:04:57.398		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
53	接收	22:04:57.424		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
54	接收	22:04:57.448		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
