序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
60	接收	20:54:17.193		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xF1 "; GE="0x3 "; SA="0xF4 "; PGN="0xF103 "; Data Field="0x01 03 18 C7 00 00 00 00 "; 	帧ID:18F103F4 数据帧 扩展帧 DLC:08 Data:01 03 18 C7 00 00 00 00 	
61	接收	20:54:17.238		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFE "; GE="0x28 "; SA="0xF4 "; PGN="0xFE28 "; Data Field="0x96 0E 91 0E 3F 3F 3C 05 "; 	帧ID:18FE28F4 数据帧 扩展帧 DLC:08 Data:96 0E 91 0E 3F 3F 3C 05 	
62	接收	20:54:17.293		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xF1 "; GE="0x1 "; SA="0xF4 "; PGN="0xF101 "; Data Field="0x0B 00 4F 0C 05 DC 0B B8 "; 	帧ID:18F101F4 数据帧 扩展帧 DLC:08 Data:0B 00 4F 0C 05 DC 0B B8 	
63	接收	20:54:17.303		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xC8 "; DA="0x28 "; SA="0xF4 "; PGN="0xC800 "; Data Field="0x0E 90 0E 93 0E 96 0E 90 "; 	帧ID:18C828F4 数据帧 扩展帧 DLC:08 Data:0E 90 0E 93 0E 96 0E 90 	
64	接收	20:54:17.338		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFE "; GE="0x28 "; SA="0xF4 "; PGN="0xFE28 "; Data Field="0x96 0E 90 0E 3F 3F 3C 05 "; 	帧ID:18FE28F4 数据帧 扩展帧 DLC:08 Data:96 0E 90 0E 3F 3F 3C 05 	
65	接收	20:54:17.343		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xF1 "; GE="0x2 "; SA="0xF4 "; PGN="0xF102 "; Data Field="0x00 00 00 00 00 00 00 00 "; 	帧ID:18F102F4 数据帧 扩展帧 DLC:08 Data:00 00 00 00 00 00 00 00 	
66	接收	20:54:17.353		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xC9 "; DA="0x28 "; SA="0xF4 "; PGN="0xC900 "; Data Field="0x0E 91 0E 93 0E 92 0E 94 "; 	帧ID:18C928F4 数据帧 扩展帧 DLC:08 Data:0E 91 0E 93 0E 92 0E 94 	
67	接收	20:54:17.389		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFF "; GE="0x28 "; SA="0xF4 "; PGN="0xFF28 "; Data Field="0x18 4F 88 13 7A 02 00 00 "; 	帧ID:18FF28F4 数据帧 扩展帧 DLC:08 Data:18 4F 88 13 7A 02 00 00 	
68	接收	20:54:17.403		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xCA "; DA="0x28 "; SA="0xF4 "; PGN="0xCA00 "; Data Field="0x0E 93 0E 92 0E 91 0E 95 "; 	帧ID:18CA28F4 数据帧 扩展帧 DLC:08 Data:0E 93 0E 92 0E 91 0E 95 	
69	接收	20:54:17.453		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xCB "; DA="0x28 "; SA="0xF4 "; PGN="0xCB00 "; Data Field="0x0E 93 0E 91 0E 92 0E 92 "; 	帧ID:18CB28F4 数据帧 扩展帧 DLC:08 Data:0E 93 0E 91 0E 92 0E 92 	
